Отметка времени,Ваш возраст,Ваш пол,Из какого вы региона Кыргызстана?,Ваш род занятий,Музыкальные предпочтения,Как часто вы слушаете музыку?,Какие платформы вы используете для прослушивания музыки?,Как музыка влияет на ваше настроение?,Какие эмоции чаще всего вызывает у вас музыка?,Какие три песни или исполнителя вы слушали чаще всего за последний месяц?,  Какую музыку вы предпочитаете?,"Какой ваш любимый альбом, и какие эмоции он вызвал?"
23.11.2024 18:14:46,18–24,Женский,Иссык-Кульская область,Студент,"Поп, Рэп/Хип-хоп, Джаз, Фонк, Духовная музыка, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"Spotify, Apple Music","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Спокойствие,"у сеня всегда смешанный поейлист, фиксировать невозможно ","Западную (американскую, европейскую)",новый альбом Билли Айлиш пришелся мне по душе
23.11.2024 18:15:16,25–34,Женский,Джалал-Абадская область,Безработный,Классическая музыка,Редко,YouTube,Улучшает настроение,Радость,-,Из своей страны (Кыргызстан),-
23.11.2024 18:15:36,25–34,Женский,Ошская область,Работающий (офис/производство/сервис),Духовная музыка,Несколько раз в неделю,"YouTube, Apple Music, Яндекс.Музыка","Мотивирует, Помогает сосредоточиться",Ностальгия,-,Смешанную (несколько культур),-
23.11.2024 18:15:49,18–24,Женский,Чуйская область,"Студент, Самозанятый/предприниматель","Поп, Рок, Рэп/Хип-хоп, Фонк",Ежедневно,"YouTube, Apple Music",Улучшает настроение,Радость,"ог буда, weekend, егор","Западную (американскую, европейскую)",-
23.11.2024 18:16:20,18–24,Женский,Чуйская область,Студент,"Поп, Рэп/Хип-хоп",Ежедневно,YouTube,"Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Вдохновение,-,"Западную (американскую, европейскую)",-
23.11.2024 18:20:56,18–24,Женский,Ошская область,Работающий (офис/производство/сервис),"Классическая музыка, Джаз, Народная музыка",Ежедневно,YouTube,"Успокаивает, Улучшает настроение",Грусть, Мот (случайности не случайны ),"Из своей страны (Кыргызстан), Смешанную (несколько культур)",Мот (август) 
23.11.2024 18:24:12,18–24,Женский,Нарынская область,"Студент, Безработный","Поп, Классическая музыка",Ежедневно,Локальные файлы на телефоне/компьютере,"Успокаивает, Улучшает настроение, Снимает стресс",Ностальгия,-,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)",-
23.11.2024 18:25:01,18–24,Мужской,Ошская область,"Учащийся, Работающий (офис/производство/сервис)","Поп, Рэп/Хип-хоп, Духовная музыка, Регги",Ежедневно,"YouTube, Телеграмм мазафака",Снимает стресс,Все варианты верны ,За последний месяц я каждый день слушаю все песни Монатика,Все варианты верны ,"Мне понравился последний альбом Левана Горозия ""Майбах"" называется "
23.11.2024 18:26:14,18–24,Женский,Джалал-Абадская область,"Студент, Работающий (офис/производство/сервис)","Поп, Рок, Рэп/Хип-хоп, Классическая музыка, Джаз, Электронная музыка, Народная музыка, Фонк, Духовная музыка",Ежедневно,"YouTube, Apple Music, ","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Радость,"Эркин Мукашев,Батыр,Люмила","Западную (американскую, европейскую)",BTS
23.11.2024 18:27:03,45–54,Женский,Ошская область,Безработный,Народная музыка,Редко,ВКонтакте,Улучшает настроение,Радость,-,Из своей страны (Кыргызстан),-
23.11.2024 18:41:36,18–24,Мужской,Ошская область,Студент,"Рэп/Хип-хоп, Классическая музыка",Ежедневно,Telegram,"Успокаивает, Улучшает настроение, Снимает стресс",Радость,-,"Западную (американскую, европейскую)",Уроборос 
23.11.2024 18:44:14,45–54,Женский,Ошская область,Пенсионер,Классическая музыка,Раз в неделю,YouTube,Улучшает настроение,Радость,-,Из своей страны (Кыргызстан),-
23.11.2024 19:19:31,18–24,Женский,Ошская область,Студент,"Поп, Рэп/Хип-хоп, Классическая музыка",Ежедневно,"YouTube, Spotify, ВКонтакте","Успокаивает, Улучшает настроение, Снимает стресс",Радость,"Arctic Monkeys,Bruno mars,мирбек атабеков","Западную (американскую, европейскую), Русскую",…
23.11.2024 19:21:44,до 18,Женский,Чуйская область,Студент,"Поп, Классическая музыка, Народная музыка, Японская музыка(опенинг, эндинг и тп.)",Несколько раз в неделю,"YouTube, Телеграм","Успокаивает, Мотивирует, Улучшает настроение",Ностальгия,Madison Beer Blackpink ninety one ,"Смешанную (несколько культур), Казахскую",K pop тема
23.11.2024 19:24:59,18–24,Женский,Джалал-Абадская область,Студент,"Классическая музыка, Джаз, Духовная музыка",Несколько раз в неделю,"YouTube, Spotify","Успокаивает, Улучшает настроение",Спокойствие,"Бир айда
İslanmıyor bu
18мне уже",Смешанную (несколько культур),Даже не знаю 
23.11.2024 19:32:21,до 18,Женский,Ошская область,Учащийся,Классическая музыка,Несколько раз в неделю,YouTube,Успокаивает,Спокойствие,-,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)",-
23.11.2024 19:34:55,18–24,Женский,Ошская область,Безработный,Духовная музыка,Редко,YouTube,Не влияет,Ностальгия,Эртеңим,"Из своей страны (Кыргызстан), Смешанную (несколько культур)",-
23.11.2024 19:39:38,18–24,Женский,Джалал-Абадская область,Студент,"Поп, Рок, Японская музыка(опенинг, эндинг и тп.)",Несколько раз в неделю,YouTube,"Мотивирует, Улучшает настроение",Радость,"Weekend, Ariana Grande, Chungha","Западную (американскую, европейскую), Из своей страны (Кыргызстан), Корейскую",Я не слушаю по альбому
23.11.2024 19:39:51,25–34,Мужской,Ошская область,Работающий (офис/производство/сервис),"Поп, Классическая музыка, Джаз",Ежедневно,"YouTube, ВКонтакте",Мотивирует,Радость,-,Русскую,-
23.11.2024 19:40:54,18–24,Мужской,Иссык-Кульская область,Студент,"Рок, Рэп/Хип-хоп, Классическая музыка, Джаз, Электронная музыка",Ежедневно,"YouTube, Spotify, Телеграм","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Цельность ,"Current joys, хаски, aphex twin ","Западную (американскую, европейскую), Русскую",Сложно выбрать. Но пусть будет deathconsciousness группы have a nice life. Вызывает необычное ощущение. Нечто похожее на меланхолию
23.11.2024 19:43:32,18–24,Женский,Ошская область,Студент,"Народная музыка, Духовная музыка",Ежедневно,YouTube,"Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Радость,"Лилия, песни матранга ","Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан)",Турецкие душевные песни 
23.11.2024 20:13:29,18–24,Мужской,Чуйская область,"Студент, Безработный","Рок, Рэп/Хип-хоп",Ежедневно,Spotify,Помогает сосредоточиться,Ностальгия,"GMFU, Haunted house, Black rover","Западную (американскую, европейскую)",I love you. (The neighborhood). Строго положительные
23.11.2024 21:29:53,18–24,Мужской,Ошская область,Работающий (офис/производство/сервис),Рэп/Хип-хоп,Ежедневно,Spotify,"Успокаивает, Улучшает настроение, Помогает сосредоточиться",Вдохновение,"Future - LIL DEMON, Desiigner - Tiimmy Turner 2, Kai Angel&9mice - Homecoming",Смешанную (несколько культур),"PHARAOH - PHOSPHOR, удивление "
23.11.2024 22:25:37,18–24,Женский,Ошская область,Студент,"Поп, Рэп/Хип-хоп",Ежедневно,"YouTube, Apple Music, Локальные файлы на телефоне/компьютере","Успокаивает, Улучшает настроение, Снимает стресс",Вдохновение,"Chris Brown, Ulukmanapo, Macan","Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)",Bts- Love yourself. Вызывает ностальгию
23.11.2024 22:33:48,18–24,Женский,Чуйская область,"Студент, Работающий (офис/производство/сервис)","Поп, Рэп/Хип-хоп, Фонк",Ежедневно,"YouTube, Локальные файлы на телефоне/компьютере","Успокаивает, Мотивирует, Улучшает настроение, Снимает стресс",Спокойствие,"billie eilish - watch, the neighbourhood - cry baby, olly alexander - breathe ","Западную (американскую, европейскую), Русскую","Starboy - The Weeknd, положительные "
23.11.2024 22:47:08,18–24,Женский,Ошская область,Работающий (офис/производство/сервис),Классическая музыка,Ежедневно,"YouTube, Spotify",Успокаивает,Спокойствие,"Бек Борбиев кополоктор
Сагын эргешов сени суйом 
Саша Санта счастливыми ",Из своей страны (Кыргызстан),Нету
23.11.2024 23:38:50,18–24,Мужской,Ошская область,Самозанятый/предприниматель,Поп,Редко,"YouTube, Яндекс.Музыка",Не влияет,Чувствую что совершаю грех,ANIKV,Предпочитаю не слушать,Нету
23.11.2024 23:41:39,до 18,Мужской,Ошская область,Самозанятый/предприниматель,Поп,Редко,"YouTube, Яндекс.Музыка",Не влияет,Грех,Я перестал слушать музыку,Смешанную (несколько культур),Нету любимого
24.11.2024 0:53:40,18–24,Мужской,Чуйская область,Студент,"Рок, Джаз, Электронная музыка, Фонк, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Spotify, Яндекс.Музыка","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Радость,"Солнце ""Перемотка"", 
Твой взгляд ""Сова""
Засада ""ТВОИ КОШМАРЫ""","Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)","Альбом (Главный герой) от группы ""Сова"".

Данный альбом вызвал у меня эмоции радости, ностальгии, любви, спокойствия, счастья"
24.11.2024 1:11:59,18–24,Мужской,Ошская область,Студент,"Поп, Рэп/Хип-хоп, Классическая музыка, Электронная музыка, Регги, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Локальные файлы на телефоне/компьютере","Успокаивает, Улучшает настроение, Снимает стресс",Вдохновение,"Мияги: Texture, All the time, Minor","Западную (американскую, европейскую), Смешанную (несколько культур), ",Buster Keaton by Miyagi 
24.11.2024 4:09:18,18–24,Мужской,Джалал-Абадская область,"Учащийся, Студент, Работающий (офис/производство/сервис), Самозанятый/предприниматель, Безработный, Пенсионер","Поп, Рок, Рэп/Хип-хоп, Классическая музыка, Джаз, Электронная музыка, Народная музыка, Фонк, Шансон, Духовная музыка, Регги, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, ВКонтакте, Радио, Локальные файлы на телефоне/компьютере","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс, Не влияет",Спокойствие,-,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур), ",-
24.11.2024 9:34:01,18–24,Мужской,Джалал-Абадская область,Студент,"Рэп/Хип-хоп, Классическая музыка, Джаз, Народная музыка, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Яндекс.Музыка, Telegram","Успокаивает, Улучшает настроение, Помогает сосредоточиться",Спокойствие,Bruno Mars,Смешанную (несколько культур),-
24.11.2024 9:46:57,18–24,Женский,Нарынская область,Студент,"Рок, Рэп/Хип-хоп, Классическая музыка, Народная музыка, Духовная музыка",Несколько раз в неделю,YouTube,"Успокаивает, Мотивирует, Улучшает настроение, Снимает стресс",Вдохновение,APT,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)",I have no favorite
24.11.2024 10:35:21,18–24,Женский,Tаласская область,Студент,"Поп, Рэп/Хип-хоп, Классическая музыка, Джаз",Несколько раз в неделю,"YouTube, Spotify","Успокаивает, Мотивирует, Улучшает настроение",Вдохновение,"Suis moi-camille, all of me-john legend, 7 rings Ariana Grande",Смешанную (несколько культур),Нинаю😓
25.11.2024 4:43:53,45–54,Мужской,Ошская область,Самозанятый/предприниматель,"Классическая музыка, Народная музыка, Шансон, Духовная музыка",Несколько раз в неделю,"YouTube, Яндекс.Музыка","Успокаивает, Улучшает настроение",Радость,Гулжигит сатыбеков ,Смешанную (несколько культур),Классика 
26.11.2024 15:19:35,35–44,Мужской,Джалал-Абадская область,Самозанятый/предприниматель,"Рэп/Хип-хоп, Народная музыка, Духовная музыка",Несколько раз в неделю,"YouTube, Радио","Успокаивает, Улучшает настроение",Ностальгия,-,"Из своей страны (Кыргызстан), Смешанную (несколько культур)",-
26.11.2024 15:20:23,45–54,Женский,Tаласская область,Безработный,"Поп, Рэп/Хип-хоп, Шансон, Духовная музыка",Ежедневно,"YouTube, Яндекс.Музыка, Радио","Успокаивает, Мотивирует, Снимает стресс",Вдохновение,-,"Западную (американскую, европейскую), Русскую",-
